분야,대상기술,기술 설명,관계법령
반도체(35개), 반도체 기초소재 제조 기술 , 메모리와 시스템반도체 제조에 필요한 기초 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제78항 관련)"
반도체(35개), 반도체 패턴용 공정 소재 제조 기술 , 회로 이미지 패턴을 형성하는데 사용하는 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제79항 관련)"
반도체(35개), 반도체 제조용 박막 소재 제조 기술 , 반도체 제조에 필수적으로 사용되는 다층박막 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제80항 관련)"
반도체(35개), 반도체용 불소화합물 제조 기술 , 기체 혹은 액체 형태로 에칭과 식각 등의 반도체 공정에 사용되는 불소화합물 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제81항 관련)"
반도체(35개), 반도체 보호 소재 제조 기술 , 반도체 회로 손상 또는 크랙을 방지하기 위한 보호막 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제82항 관련)"
반도체(35개), 반도체용 세라믹 소재 제조 기술 , 반도체 기초소재 제조를 위한 세라믹 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제83항 관련)"
반도체(35개), 반도체 제조용 가스 소재 제조 기술 , 반도체 제조시 사용하는 가스 소재 제조 및 안정화 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제84항 관련)"
반도체(35개), 반도체 증착 공정소재 제조 기술 , 반도체 제조에 있어 박막을 증착하기 위한 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제85항 관련)"
반도체(35개), 반도체 검사장비 제조 기술 ," 반도체 기능 테스트, 반도체칩의 완성정도를 검사하는 장비 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제86항 관련)"
반도체(35개), 반도체 패턴 공정용 장비 부품 제조 기술 , 회로 이미지 패턴을 형성하는데 사용하는 장비 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제87항 관련)"
반도체(35개), 반도체 증착 부품·장비 제조 기술 , 반도체 소자를 구성하는 물질을 초박막 형태로 증착하는 부품·장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제88항 관련)"
반도체(35개), 반도체 이송 장치 제조 기술 , 반도체 공정별 다수 챔버 사이 또는 챔버 내에서 제조 제품을 이송하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제89항 관련)"
반도체(35개), 반도체 공정용 고정 부품 제조 기술 , 반도체 제조 장비 내에서 기초 소재를 고정하는 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제90항 관련)"
반도체(35개), 반도체 공정 불순물 제거 장비 제조 기술 , 반도체 공정상에 발생되는 불순물을 제거하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제91항 관련)"
반도체(35개), 전력제어 부품 제조 기술 , 전력의 변환이나 제어를 하는 반도체 부품 제조 기술 [마목7)에서 이동],"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제92항 관련)"
반도체(35개), 반도체 식각 부품·장비 제조 기술 , 반도체 박막 패턴 정밀가공 공정에 사용되는 부품·장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제93항 관련)"
반도체(35개), 고집적 회로 기판 제조 기술 , 고집적된 능동 및 수동회로가 포함된 기판 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제94항 관련)"
반도체(35개), 반도체 후공정 장비 제조 기술 , 첨단 후공정 패키징 제조를 위한 핵심장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제95항 관련)"
반도체(35개), 반도체 후공정 열처리 소재 제조 기술 , 첨단 후공정 패키징 제조를 위한 열관리 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제96항 관련)"
반도체(35개), 반도체 열처리 장비 제조 기술 , 반도체 웨이퍼 열처리 공정장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제97항 관련)"
반도체(35개), 반도체 패턴 공정용 생산성 향상 제조 기술 , 반도체 극미세 마스크 보호 소재·장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제98항 관련)"
반도체(35개), 반도체 웨이퍼 칩 성능 검사 장비 제조 기술 , 반도체 웨이퍼 칩의 전기적 특성을 검사하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제99항 관련)"
반도체(35개), 전력반도체 후공정 장비 제조 기술 , 전력반도체 후공정 패키징 제조를 위한 핵심장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제100항 관련)"
반도체(35개), 반도체 전공정 플라즈마 처리기술 , 반도체 박막공정 부산물 처리를 위한 플라즈마 장치기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제101항 관련)"
반도체(35개), 차량용 고신뢰성 MCU 제조 기술 , 자동차용 기능안전 대응용 고신뢰성 MCU(Micro Controller Unit) 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제102항 관련)"
